"","X7_Cell_ID","Human","Livestock","Machinery","Dog","No_active_disturbance","Farm_hut","Road","Fence","Settlement","No_infrastructure","Water_source","Industrial_uses","Powerline","Flat","Sloping","Undulating","Soil","Sand","Gravel","Rocky","Grassland","Agriculture_active","Agriculture_inactive","Scrubland","X","transect_length","Habitat_points","Bird_points","Canal_length","Canal"
"51","BK250",0.142857142857143,0,0,0,0.857142857142857,0,0.857142857142857,0,0,0.142857142857143,0,0,0,0.428571428571429,0.142857142857143,0.428571428571429,1,0,0,0,0,0,0,1,51,12,7,16,0,0
"52","BK252",0.857142857142857,0.428571428571429,0.571428571428571,0.285714285714286,0.142857142857143,0,0.714285714285714,1,0.285714285714286,0,0.857142857142857,0,0.285714285714286,0,0,1,0.571428571428571,1,0,0,0,0,1,0.285714285714286,52,12,7,27,0,0
"53","BK253",0.285714285714286,0.285714285714286,0,0,0.571428571428571,0,1,0.142857142857143,0,0,0,0,0.142857142857143,0.428571428571429,0,0.571428571428571,0.428571428571429,0.571428571428571,0,0,0,0,0,1,53,13,7,22,0,0
"54","BK256",0.727272727272727,0.272727272727273,0,0.0909090909090909,0.272727272727273,0,0,0.818181818181818,0,0.0909090909090909,0.636363636363636,0.0909090909090909,0.818181818181818,1,0,0,1,0.181818181818182,0,0,0.272727272727273,0.454545454545455,0.181818181818182,0.363636363636364,54,18,11,24,26553.45978,1
"55","BK259",0.75,0.75,0,0.75,0,0,0.5,0.75,0.75,0,0.25,0,0.75,1,0,0,1,0,0,0,0,0,0.25,0.75,55,8,4,34,27639.5293,1
"56","BK260",0.545454545454545,0.727272727272727,0.0909090909090909,0,0.272727272727273,0,0,0.454545454545455,0,0.272727272727273,0.181818181818182,0,0.363636363636364,0.636363636363636,0,0.363636363636364,0.727272727272727,0.818181818181818,0,0,0.0909090909090909,0.0909090909090909,0.727272727272727,0.909090909090909,56,20,11,23,23152.46877,1
"57","BK263",0.5,0.2,0.3,0,0.3,0.3,0,0.6,0.2,0.3,0,0,0,0.6,0.4,0,0.9,0.5,0,0,0.2,0.3,0.3,0.5,57,17,10,35,26631.15885,1
"58","BK264",0.166666666666667,0.5,0,0.166666666666667,0.5,0.166666666666667,0.166666666666667,0.666666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0.166666666666667,0,0.5,0.5,0.833333333333333,0.5,0,0,0,0.166666666666667,0.333333333333333,0.666666666666667,58,10,6,10,0,0
"59","BK266",0.3,0.9,0,0.1,0.1,0,0,0.6,0.4,0,0.6,0,0.5,1,0,0,1,0,0,0,0.1,0.1,0.6,0.6,59,20,10,9,7388.925637,1
"60","BK269",1,1,0,0.6,0,0,0.2,0.9,0.9,0,0.8,0,0.9,1,0,0,1,0,0,0,0.1,0,0.6,0.6,60,16,10,41,0,0
