"","X14_Species_Name","Common_Name","Scientific_Name","Order","IUCN name","HWI","Sample size","Body mass (log)","Range Size","Island","Migration-1","Migration-2","Migration-3","Territoriality","Diet","Habitat","Latitude","AnnualTemp","TempRange","AnnualPrecip","PrecipRange","BodyMass.Value"
"56","Lesser Whitethroat (Sylvia curruca)","Lesser Whitethroat ","Sylvia curruca","Passeriformes","Sylvia curruca",21.53256361,4,"1.0584260240000001","1608","2.487562E-3","Full Migrant","3","directional migratory","weak","invertebrates","3","52.64","3.2856963480000001","41.767692240000002","508.95191119999998","52.229283260000003",11.44
"57","Striated Babbler (Argya earlei)","Striated Babbler ","Argya earlei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","White Wagtail (Motacilla alba)","White Wagtail ","Motacilla alba","Passeriformes","Motacilla alba",30.97882362,10,"1.378942699","3722","1.6657710999999999E-2","Full Migrant","3","directional migratory","weak","invertebrates","3","53.22","1.5260035949999999","42.356792980000002","482.90680850000001","54.63827869",23.93
"59","Bank Myna (Acridotheres ginginianus)","Bank Myna ","Acridotheres ginginianus","Passeriformes","Acridotheres ginginianus",24.33165815,4,"1.8573324959999999","214","0","Not a Migrant","2","resident","none","omnivore","3","25.48","24.07967382","19.144554400000001","1901.5504149999999","393.6848794",72
"60","Black Redstart (Phoenicurus ochruros)","Black Redstart ","Phoenicurus ochruros","Passeriformes","Phoenicurus ochruros",23.9419716,4,"1.217483944","1142","4.3782839999999996E-3","Full Migrant","2","directional migratory","weak","invertebrates","3","41.75","6.8764285410000001","35.903434619999999","495.4350081","67.684222460000001",16.5
"61","Red breasted Flycatcher (Ficedula parva)","Red breasted Flycatcher ","Ficedula parva","Passeriformes","Ficedula parva",23.82910712,4,"1.0334237550000001","518","0","Full Migrant","3","directional migratory","weak","invertebrates","1","56.41","-1.860312186","47.13435398","507.60334080000001","60.973251449999999",10.8
"62","Large Gray Babbler (Turdoides malcolmi)","Large Gray Babbler ","Turdoides malcolmi","Passeriformes","Argya malcolmi",15.35530754,4,"1.8790958799999999","165","0","Not a Migrant","1","resident","strong","invertebrates","2","21.46","25.614975439999998","26.556761120000001","1062.395491","323.97815680000002",75.7
"63","Brahminy Starling (Sturnia pagodarum)","Brahminy Starling ","Sturnia pagodarum","Passeriformes","Sturnia pagodarum",27.28302752,4,"1.6893088590000001","320","0","Full Migrant","1","directional migratory","none","omnivore","1","22.6","24.119627049999998","26.63366109","1067.367626","294.10833639999998",NA
"64","Ashycrowned Sparrow Lark (Eremopterix griseus)","Ashycrowned Sparrow Lark ","Eremopterix griseus","Passeriformes","Eremopterix griseus",29.45041808,4,"1.204119983","302","0","Not a Migrant","2","resident","weak","seeds","3","22.25","25.27974305","26.409193819999999","1132.461532","309.60266660000002",16
"65","Alexandrine Parakeet (Psittacula eupatria)","Alexandrine Parakeet ","Psittacula eupatria","Psittaciformes","Psittacula eupatria",53.10717144,4,"2.3304137730000001","359","2.5069638000000002E-2","Nomadic","1","resident","none","omnivore","1","20.87","24.7133234","24.022462310000002","1386.8701860000001","339.7889563",214
"66","Yelloweyed Pigeon (Columba eversmanni)","Yelloweyed Pigeon ","Columba eversmanni","Columbiformes","Columba eversmanni",47.2471773,4,"2.3053513689999998","385","0","Full Migrant","3","directional migratory","none","seeds","2","40.76","7.9504960379999998","43.402386270000001","221.0601796","34.942265290000002",202
"67","Painted Sandgrouse (Pterocles indicus)","Painted Sandgrouse ","Pterocles indicus","Pteroclidiformes","Pterocles indicus",40.94534665,4,"2.2509320700000002","225","0","Not a Migrant","1","resident","none","seeds","3","21.9","25.692607330000001","27.161728329999999","1017.711153","303.701413",178.21
"68","Grey Wagtail (Motacilla cinerea)","Grey Wagtail ","Motacilla cinerea","Passeriformes","Motacilla cinerea",35.43056843,4,"1.2342641240000001","2013","3.6761053000000002E-2","Full Migrant","2","directional migratory","weak","invertebrates","3","48.95","2.9736239790000001","42.191353149999998","586.58140070000002","79.546887729999995",17.15
"69","Common Kestrel (Falco tinnunculus)","Common Kestrel ","Falco tinnunculus","Falconiformes","Falco tinnunculus",50.85292353,4,"2.2629491750000001","5026","1.1142061E-2","Full Migrant","3","directional migratory","weak","vertebrates","3","31.89","11.28066126","34.57112549","611.38816369999995","106.30370050000001",183.21
"70","Graceful Prinia (Prinia gracilis)","Graceful Prinia ","Prinia gracilis","Passeriformes","Prinia gracilis",10.44642073,5,"0.85125834899999997","575","0","Not a Migrant","1","resident","strong","invertebrates","2","25.15","23.367107010000002","29.470030120000001","439.65888660000002","112.3693026",7.1
"71","Indian Robin (Saxicoloides fulicatus)","Indian Robin ","Saxicoloides fulicatus","Passeriformes","Saxicoloides fulicatus",7.722208932,4,"1.2201080879999999","281","3.5587190000000001E-3","Not a Migrant","1","resident","strong","invertebrates","2","22.44","24.990714369999999","26.995574179999998","1011.906129","282.58151779999997",16.6
