Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Lndscp,Rgn,Time,Wthr,Wndspd,Grsl,Agri,Scrb,Wdl,Brn,Grdvg_ht,Grdvg_cov,Arth,Act_dstb,Psv_dstb,sel
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.813,1,1.125,0,0.479,0.135,0.385,0,0.722,0.466,0.678,0.938,0.75,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.588,1,1,0.402,0.176,0.029,0.373,0.02,0.574,0.841,0.521,0.529,0.882,1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,Kutch,Guj,0.7,0.95,1,0.308,0.258,0.333,0.067,0.033,0.445,0.403,0.158,0.85,1.7,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Kutch,Guj,0.609,1,0.478,0.196,0.351,0.279,0.149,0.025,0.554,0.446,0.354,1.174,1,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Kutch,Guj,0.435,0.783,1,0.239,0.159,0.268,0.145,0.188,0.442,0.461,0.907,0.696,0.739,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,1,0.8,1.4,0.167,0.456,0.067,0.089,0.222,0.381,0.347,0.19,0.733,1.4,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.733,1,1.733,0,0.589,0.256,0.156,0,0.269,0.44,0.49,0.533,0.467,1
33,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.455,1,1,0.288,0.561,0,0.152,0,0.37,0.495,0.805,1.727,1.091,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Kutch,Guj,0.625,0.667,0.833,0.389,0.201,0.125,0.243,0.042,0.533,0.696,1.358,0.958,1.125,1
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Kutch,Guj,0.588,0.765,0.706,0.088,0.265,0.314,0.294,0.039,0.672,0.574,0.782,1.647,0.765,1
