"","X7_Cell_ID","Farm_hut","Road","Fence","Settlement","No_infrastructure","Water_source","Industrial_uses","Powerline"
"74","BK62",0,0,0.222222222222222,0.222222222222222,0.111111111111111,0,0,0.777777777777778
"75","BK65",0,0,0.5,0.1,0,0.6,0,0.9
"76","BK7",0.222222222222222,0.111111111111111,0.444444444444444,0.222222222222222,0.111111111111111,0.333333333333333,0,0.444444444444444
"77","BK75",0,0.285714285714286,0.714285714285714,0.142857142857143,0,1,0,1
"78","BK77",0,0.0666666666666667,0.733333333333333,0.133333333333333,0.133333333333333,0.733333333333333,0,0.666666666666667
"79","BK80",0,0.125,0.875,0.375,0,0.5,0,0.75
"80","BK85",0.3,0.3,1,0.2,0,0.8,0,0.9
"81","BK86",0,0.272727272727273,0.636363636363636,0.181818181818182,0.0909090909090909,0.545454545454545,0,0.454545454545455
"82","BK88",0,0.222222222222222,0.666666666666667,0.222222222222222,0.222222222222222,0.111111111111111,0,0.333333333333333
"83","BK90",0,0.222222222222222,1,0,0,1,0,0.777777777777778
"84","BK91",0,0,1,0,0,0.6,0,0.6
"85","BK92",0,0.5,0,0,0.5,0,0,0
"86","BK96",0,0.285714285714286,0.857142857142857,0.428571428571429,0.142857142857143,0.714285714285714,0,0.857142857142857
"87","BK97",0,0.5,0.5,0.333333333333333,0.166666666666667,0.666666666666667,0,0.333333333333333
"88","BK98",0.333333333333333,0.0833333333333333,0.0833333333333333,0,0.5,0.416666666666667,0,0.166666666666667
"89","BK99",0,0.1,0.7,0.4,0.1,0.7,0,0.6
